country,public_transport_quality
Albania,1.2
Algeria,3.8
Argentina,2.7
Armenia,3.1
Australia,4.4
Australia,5.3
Bangladesh,3.1
Belgium,4.1
Benin,1.7
Bolivia,2.6
Bosnia and Herzegovina,2.2
Botswana,3.6
Brazil,2.5
Bulgaria,3.1
Burkina Faso,2.5
Cameroon,2.7
Canada,4.5
Chile,3.2
China,4.5
Colombia,1.7
Côte d'Ivoire,2.9
Croatia,2.4
Czechia,4.5
Democratic Republic of the Congo,1.9
Denmark,4.5
Egypt,3.8
Estonia,3.1
Ethiopia,3.0
Finland,5.5
France,5.0
Gabon,2.6
Georgia,3.9
Germany,4.9
Ghana,1.9
Greece,3.0
Hungary,3.8
India,4.4
Indonesia,4.7
Iran,3.7
Ireland,4.0
Israel,3.7
Italy,4.1
Japan,6.8
Jordan,2.6
Kazakhstan,4.2
Kenya,4.0
Kyrgyzstan,2.8
Latvia,4.6
Lithuania,4.6
Luxembourg,5.0
Madagascar,2.0
Malawi,2.1
Malaysia,5.1
Mauritania,2.1
Mexico,3.3
Moldova,3.0
Mongolia,3.5
Montenegro,3.1
Morocco,3.9
Mozambique,2.6
Namibia,3.4
Netherlands,5.7
New Zealand,3.9
Nigeria,1.8
North Macedonia,2.1
Norway,4.5
Pakistan,3.8
Panama,4.8
Peru,2.9
Philippines,2.4
Poland,3.9
Portugal,4.2
Romania,2.8
Russia,4.9
Saudi Arabia,4.5
Senegal,2.9
Serbia,2.6
Singapore,5.8
Slovakia,4.0
Slovenia,3.1
South Africa,3.0
South Korea,5.9
Spain,5.4
Sri Lanka,3.8
Sweden,4.0
Switzerland,6.4
Taiwan,5.4
Tajikistan,4.1
Tanzania,3.2
Thailand,2.8
Tunisia,3.2
Turkey,3.5
Ukraine,4.2
United Kingdom,4.3
United States,5.2
Uruguay,1.2
Venezuela,1.5
Vietnam,3.6
Zambia,2.1
Zimbabwe,1.9
